Airline,FlightNum,Arrive/Departure,Aircraft,ScheduledTime,PassengerCapacity,PassengerBooked,PassengerTransfer,GateNum,FlightStatus
BBB,1,1,747,2:05,415,215,13,G1,On Time
BBB,2,1,747,2:25,415,334,15,G1,On Time
BBB,3,1,A380,2:45,525,387,36,G1,On Time
BBB,4,1,A380,3:05,525,456,47,G1,On Time
BBB,5,1,A380,3:25,525,286,52,G1,On Time
BBB,901,0,747,3:15,415,234,47,G91,On Time
BBB,902,0,747,3:35,415,346,14,G91,On Time
BBB,903,0,A380,3:55,525,367,4,G91,On Time
BBB,904,0,A380,4:15,525,387,36,G91,On Time
BBB,905,0,A380,4:35,525,478,25,G91,On Time
